,purchase,total_events,unique_products,unique_categories,active_hours,view_count,cart_count,session_count,avg_session_duration,cart_event_ratio,cart_per_product
9393,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
18487,non_purchase,3,1,1,0.11361111111111111,2,1,1,6.816666666666666,0.3333333333333333,1.0
36557,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
29209,non_purchase,8,1,1,0.035833333333333335,8,0,1,2.15,0.0,0.0
35493,non_purchase,7,6,2,0.14944444444444444,7,0,1,8.966666666666667,0.0,0.0
6759,non_purchase,4,3,1,0.14888888888888888,4,0,1,8.933333333333332,0.0,0.0
37354,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
30780,non_purchase,5,1,1,0.02666666666666667,5,0,1,1.6,0.0,0.0
25186,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
31000,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
22245,non_purchase,2,1,1,0.01972222222222222,1,1,1,1.1833333333333333,0.5,1.0
38663,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
14965,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
5696,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
26845,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
38462,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
18122,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
17615,non_purchase,4,2,1,0.25916666666666666,4,0,1,15.549999999999999,0.0,0.0
8576,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
38747,non_purchase,4,4,1,0.04555555555555556,4,0,1,2.7333333333333334,0.0,0.0
36158,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
20061,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
3984,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
7719,non_purchase,3,1,1,0.019166666666666665,3,0,1,1.15,0.0,0.0
3185,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
27582,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
35675,non_purchase,5,1,1,0.03138888888888889,4,1,1,1.8833333333333333,0.2,1.0
